num_lectures,price,days_since_published,content_duration
19,200,1660,1.5
13,20,2657,2.0
114,110,1907,6.0
11,50,1632,1.0
40,200,2244,5.5
65,200,1803,4.5
9,20,2094,1.5
27,175,1784,2.5
26,125,2425,1.5
13,0,1560,0.5166666666666666
34,110,1845,5.5
46,20,2740,5.0
12,200,1779,1.0
53,50,2747,2.5
35,200,1823,1.5
19,50,2751,2.0
11,0,1613,1.5
24,0,2727,3.5
11,20,1957,1.0
8,0,2029,0.7333333333333333
15,0,2038,1.0
10,200,1596,1.0
29,20,2530,3.0
19,0,1701,5.0
24,45,2289,5.5
52,20,1912,4.0
10,25,3437,2.0
48,60,2072,3.0
16,50,2445,2.5
16,25,2357,1.5
13,0,2463,1.0
9,195,1627,0.5
39,170,2029,6.5
17,50,1915,2.0
34,20,1688,1.0
34,30,1572,4.0
20,95,1562,2.0
145,0,1859,8.5
131,50,2529,8.0
18,45,2248,1.0
16,40,2809,4.0
395,180,2381,33.0
10,45,2184,1.5
44,200,2456,4.0
15,20,1752,1.5
70,40,1936,5.0
25,95,2024,1.5
7,35,1831,0.55
17,20,2153,2.0
14,40,2017,1.5
12,20,2591,3.0
13,25,2423,1.0
9,20,1660,1.0
19,0,2363,3.0
12,200,1659,0.6
5,0,2403,1.0
70,50,1569,10.5
90,55,2633,2.5
19,85,1715,2.5
44,50,2557,5.5
70,95,2202,13.5
239,95,1923,25.5
11,20,1963,1.0
32,55,2043,6.0
61,95,1863,2.5
23,70,1684,2.5
12,35,2057,1.0
15,25,2877,1.5
106,50,2361,6.5
82,150,1921,8.0
82,50,1891,4.0
19,20,1785,2.5
59,20,2750,8.0
13,20,1963,1.0
11,25,1858,1.5
17,20,2693,1.5
103,175,2240,13.0
27,0,1864,2.0
10,0,2403,0.5333333333333333
20,0,2449,1.5
16,200,2320,2.5
58,55,2401,4.5
32,40,1835,5.0
16,20,2812,1.0
12,20,2924,2.0
11,20,2526,0.6166666666666667
77,75,1983,6.0
32,95,1587,1.5
27,50,2409,5.0
46,30,2051,9.0
9,20,2726,0.6166666666666667
31,20,2035,1.5
30,200,1818,3.0
16,50,2067,1.0
8,35,2241,0.6166666666666667
17,50,2992,8.0
113,85,1618,18.5
30,70,2158,1.0
63,75,2304,3.5
13,20,2243,0.7
25,50,1953,2.5
33,20,2765,70.0
60,50,1866,7.0
22,70,2167,5.0
33,75,2815,4.5
38,30,2779,12.0
27,30,1964,2.0
6,60,3135,1.0
93,170,1799,4.5
64,20,2486,7.0
36,120,2185,4.0
14,95,2216,1.0
34,20,2328,6.5
9,25,2146,1.0
36,60,2110,2.0
16,20,2115,2.0
62,50,1793,1.5
15,50,2768,2.5
14,20,2314,2.0
27,40,2271,3.5
71,120,1877,14.0
11,200,2223,2.0
202,100,1646,16.0
78,100,1781,6.5
8,45,2157,1.0
8,50,1561,1.5
23,30,2331,3.0
16,30,2181,1.5
25,20,1992,4.0
8,25,1761,1.5
18,0,1631,1.0
50,195,1954,6.0
13,20,2636,1.5
55,175,2564,7.0
11,0,2356,0.7333333333333333
23,20,1890,1.5
94,200,1591,17.5
6,20,2866,2.0
22,20,2861,1.5
26,20,1843,3.0
48,50,2199,3.0
119,140,2029,12.0
23,20,2011,1.0
